 Supplementary Table 1. Detailed information of the maize inbred lines used in this study					
Sample ID	Inbred line name	Breeding era	Origin	 Subgroup	Heterotic group
441	HRS1516	II	Heilongjiang,China	BSSS	SS
442	HRU3	II	Heilongjiang,China	Admix	Admix
443	HRWC1	II	Heilongjiang,China	Amargo	SS
444	Ji9-033	II	Jilin,China	PA 1	PA
445	JiZ-S24-9	II	Hebei,China	SPT 1	SPT
446	Liao106	I	Liaoning,China	Lancaster 2	NSS
447	Mo113	I	Heilongjiang,China	Lancaster 1	NSS
448	SCML205Rel	II	Sichuan,China	PA 2	PA
449	v022	I	Jilin,China	1odent	Iodent
450	V022Gai	II	Heilongjiang,China	Lancaster 2	NSS
451	WIL900Rel	I	USA	Lancaster 1	NSS
452	Y09N4	Unknown	China	PA 1	PA
453	Y10N60	Unknown	China	PA 1	PA
454	Y1303	Unknown	China	Admix	Admix
455	Y14N02	Unknown	China	Admix	Admix
456	Y14N03	Unknown	China	Lancaster 1	NSS
457	Zhe969	Unknown	Inner Mongolia,China	SPT 1	SPT
458	Zheng60	II	Henan,China	PA 1	PA
459	11239	II	Jilin,China	Admix	Admix
460	121438	II	Jilin,China	Lancaster 2	NSS
461	121494	II	Jilin,China	Zi330	NSS
462	121756	II	Jilin,China	PA 1	PA
463	121842	II	Jilin,China	Admix	Admix
464	161177	II	Jilin,China	1odent	Iodent
465	161191	II	Jilin,China	1odent	Iodent
466	161197	II	Jilin,China	1odent	Iodent
467	161223	II	Jilin,China	1odent	Iodent
468	R203	I	Jilin,China	Admix	Admix
469	Ya7922	II	Jilin,China	Admix	Admix
470	YD7922	II	Jilin,China	PA 1	PA
471	Su80-1	I	Jilin,China	Lancaster 2	NSS
472	444-1	I	Jilin,China	SPT 1	SPT
473	Zhong451	I	Beijing,China	Admix	Admix
474	r5003	I	Liaoning,China	PA 1	PA
475	150	I	Jilin,China	Lancaster 1	NSS
476	9046	I	Liaoning,China	PA 1	PA
477	JMO17D	II	Jilin,China	Lancaster 1	NSS
478	9222	II	Jilin,China	Admix	Admix
479	9094	II	Jilin,China	Amargo	SS
480	Jizi1042	II	Jilin,China	Admix	Admix
481	Jizi1043	II	Jilin,China	1odent	Iodent
482	Jizi1046	II	Jilin,China	PB	PB
483	Jizi1050	II	Jilin,China	Admix	Admix
484	Jizi1055	II	Jilin,China	Admix	Admix
485	Jizi1057	II	Jilin,China	PA 1	PA
486	Jizi1058	II	Jilin,China	Lancaster 2	NSS
487	Jizi1082	II	Jilin,China	PA 2	PA
488	Jizi1084	II	Jilin,China	Admix	Admix
489	Jizi1134	II	Jilin,China	BSSS	SS
490	Jizi1138	II	Jilin,China	Amargo	SS
491	Jizi1140	II	Jilin,China	PA 1	PA
492	9070	II	Jilin,China	Admix	Admix
493	9083	II	Jilin,China	Amargo	SS
494	9218	II	Jilin,China	Admix	Admix
495	9219	II	Jilin,China	Admix	Admix
496	Jizi1006	II	Jilin,China	Lancaster 1	NSS
497	Jizi1008	II	Jilin,China	PA 1	PA
498	Jizi1023	II	Jilin,China	SPT 2	SPT
499	Jizi1034	II	Jilin,China	Lancaster 1	NSS
500	Jizi1039	II	Jilin,China	PA 1	PA
501	Jizi1040	II	Jilin,China	PA 1	PA
502	9033	II	Jilin,China	Admix	Admix
503	9069	II	Jilin,China	Admix	Admix
504	9087	II	Jilin,China	Admix	Admix
505	9109	II	Jilin,China	Admix	Admix
506	9161	II	Jilin,China	Amargo	SS
507	9163	II	Jilin,China	Admix	Admix
508	Jizi1092	II	Jilin,China	PA 1	PA
509	Jizi1018	II	Jilin,China	Lancaster 1	NSS
510	9180	II	Jilin,China	Admix	Admix
511	842	I	Jilin,China	1odent	Iodent
512	846	I	Jilin,China	SPT 1	SPT
513	C8605-2	I	Liaoning,China	PA 1	PA
514	P138	I	Beijing,China	PB	PB
515	81162	I	Jilin,China	Lancaster 2	NSS
516	4F1	I	Jilin,China	Lancaster 1	NSS
517	He344	I	Heilongjiang,China	Lancaster 1	NSS
