ID	Accession	Run title	BioProject accession	Experiment accession	Run data file type	File name 1	MD5 checksum 1	DownLoad1	File name 2	MD5 checksum 2	DownLoad2	Reference file name	MD5 for reference file	Assembly Name or Accession	Assembly Accession URL	other_db	accession_in_other_db	other_db_url
37	CRR504190	JN15	PRJCA009749	CRX444596	fastq	CRR504190_f1.fq.gz (3424612248 bytes)	114e766e19ba1585b15715a830f03c23	ftp://download.big.ac.cn/gsa/CRA007020/CRR504190/CRR504190_f1.fq.gz	CRR504190_r2.fq.gz (3735339465 bytes)	aa23fa24e88fb3ec91a734cd0e3834dd	ftp://download.big.ac.cn/gsa/CRA007020/CRR504190/CRR504190_r2.fq.gz							
38	CRR504191	Cheng687	PRJCA009749	CRX444597	fastq	CRR504191_f1.fq.gz (2909799462 bytes)	a8f33aab8a4e2afce597eace47a42b14	ftp://download.big.ac.cn/gsa/CRA007020/CRR504191/CRR504191_f1.fq.gz	CRR504191_r2.fq.gz (3063115469 bytes)	cf375de74d09375831ff5ad34b3ccf45	ftp://download.big.ac.cn/gsa/CRA007020/CRR504191/CRR504191_r2.fq.gz							
39	CRR504192	Zezi23	PRJCA009749	CRX444598	fastq	CRR504192_f1.fq.gz (2994577229 bytes)	e4499361ca3223780c5ef51fc934c60c	ftp://download.big.ac.cn/gsa/CRA007020/CRR504192/CRR504192_f1.fq.gz	CRR504192_r2.fq.gz (3125540956 bytes)	4d035a03d6e92fc57d402918b53703db	ftp://download.big.ac.cn/gsa/CRA007020/CRR504192/CRR504192_r2.fq.gz							
40	CRR504193	M101	PRJCA009749	CRX444599	fastq	CRR504193_f1.fq.gz (3444626193 bytes)	1b7c8545dcd7959b9ebb7845728df9ea	ftp://download.big.ac.cn/gsa/CRA007020/CRR504193/CRR504193_f1.fq.gz	CRR504193_r2.fq.gz (3594112246 bytes)	6944560e422e90113df7ac44d8a3090d	ftp://download.big.ac.cn/gsa/CRA007020/CRR504193/CRR504193_r2.fq.gz							
41	CRR504194	J0045	PRJCA009749	CRX444600	fastq	CRR504194_f1.fq.gz (2515108565 bytes)	61d8d89b3338708d85d85d32f48a6aff	ftp://download.big.ac.cn/gsa/CRA007020/CRR504194/CRR504194_f1.fq.gz	CRR504194_r2.fq.gz (2642450653 bytes)	5532394b6a06cca8614272273bc170f7	ftp://download.big.ac.cn/gsa/CRA007020/CRR504194/CRR504194_r2.fq.gz							
42	CRR504195	Tian77	PRJCA009749	CRX444601	fastq	CRR504195_f1.fq.gz (3650569655 bytes)	28659e9bca4d26b2c9cf25ab99b148c8	ftp://download.big.ac.cn/gsa/CRA007020/CRR504195/CRR504195_f1.fq.gz	CRR504195_r2.fq.gz (3789444649 bytes)	1d0caf65075a6fb92b83b98bf7a5dadb	ftp://download.big.ac.cn/gsa/CRA007020/CRR504195/CRR504195_r2.fq.gz							
43	CRR504196	Qi205	PRJCA009749	CRX444602	fastq	CRR504196_f1.fq.gz (3574387095 bytes)	d7a873fea0427c54f1d1cc30000a9ad5	ftp://download.big.ac.cn/gsa/CRA007020/CRR504196/CRR504196_f1.fq.gz	CRR504196_r2.fq.gz (3819604094 bytes)	28d960153f7374ad89ac3f1549706083	ftp://download.big.ac.cn/gsa/CRA007020/CRR504196/CRR504196_r2.fq.gz							
44	CRR504197	DH40	PRJCA009749	CRX444603	fastq	CRR504197_f1.fq.gz (3666859930 bytes)	940aaaa8e9ea32f9719223e769d37726	ftp://download.big.ac.cn/gsa/CRA007020/CRR504197/CRR504197_f1.fq.gz	CRR504197_r2.fq.gz (3758690765 bytes)	42739a39ebeb0d25e333e4ec6079fbe1	ftp://download.big.ac.cn/gsa/CRA007020/CRR504197/CRR504197_r2.fq.gz							
45	CRR504198	Xun971	PRJCA009749	CRX444604	fastq	CRR504198_f1.fq.gz (3490696374 bytes)	0086000fa5f10a44779da824762b0b23	ftp://download.big.ac.cn/gsa/CRA007020/CRR504198/CRR504198_f1.fq.gz	CRR504198_r2.fq.gz (3638995728 bytes)	41f871bfc998744956aac82c9c0f005f	ftp://download.big.ac.cn/gsa/CRA007020/CRR504198/CRR504198_r2.fq.gz							
46	CRR504199	DanT138	PRJCA009749	CRX444605	fastq	CRR504199_f1.fq.gz (3072330524 bytes)	ff5b7093a65732161d62094f247f385c	ftp://download.big.ac.cn/gsa/CRA007020/CRR504199/CRR504199_f1.fq.gz	CRR504199_r2.fq.gz (3173134512 bytes)	bbc2ea1a381d15842709cbc5f94f648d	ftp://download.big.ac.cn/gsa/CRA007020/CRR504199/CRR504199_r2.fq.gz							
47	CRR504200	DF32	PRJCA009749	CRX444606	fastq	CRR504200_f1.fq.gz (2786106160 bytes)	859bdef797c7d894c31deeb32b43a825	ftp://download.big.ac.cn/gsa/CRA007020/CRR504200/CRR504200_f1.fq.gz	CRR504200_r2.fq.gz (2887453100 bytes)	e55b0840d10aac99677fe5a7594a893e	ftp://download.big.ac.cn/gsa/CRA007020/CRR504200/CRR504200_r2.fq.gz							
48	CRR504201	Mei22	PRJCA009749	CRX444607	fastq	CRR504201_f1.fq.gz (3703461602 bytes)	83c92931d99dd580c56a492c490c9fc1	ftp://download.big.ac.cn/gsa/CRA007020/CRR504201/CRR504201_f1.fq.gz	CRR504201_r2.fq.gz (3802055078 bytes)	682ffba11157ae7c730fe4c68cc8f4e9	ftp://download.big.ac.cn/gsa/CRA007020/CRR504201/CRR504201_r2.fq.gz							
49	CRR504202	Hai1134	PRJCA009749	CRX444608	fastq	CRR504202_f1.fq.gz (3122134597 bytes)	1fa75c2161cedcfd217070bd11059e3f	ftp://download.big.ac.cn/gsa/CRA007020/CRR504202/CRR504202_f1.fq.gz	CRR504202_r2.fq.gz (3223395400 bytes)	60124571ff3bbe0e17ba1ff40ca52dcb	ftp://download.big.ac.cn/gsa/CRA007020/CRR504202/CRR504202_r2.fq.gz							
50	CRR504203	H9442	PRJCA009749	CRX444609	fastq	CRR504203_f1.fq.gz (3698435111 bytes)	450306c83a1223aa156e9b35ae790c37	ftp://download.big.ac.cn/gsa/CRA007020/CRR504203/CRR504203_f1.fq.gz	CRR504203_r2.fq.gz (3838372184 bytes)	31cc7e3b6256c0c891a2b38ebdfd5576	ftp://download.big.ac.cn/gsa/CRA007020/CRR504203/CRR504203_r2.fq.gz							
